Operación nº,Tipo,Fecha y hora,Señal,Precio USD,Tamaño de la posición (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
538,Salida en corto,2025-05-01 11:30,Exit,3220.1,21.2,69764.748,1498.63,2.15,1498.63,2.15,-8.27,-0.01,25686.87,25.69
538,Entrada en corto,2025-04-30 22:30,Short,3290.79,21.2,69764.748,1498.63,2.15,1498.63,2.15,-8.27,-0.01,25686.87,25.69
539,Salida en largo,2025-05-07 21:15,Exit,3369.32,19.9,67548.56,-499.09,-0.74,69.05,0.10,-499.09,-0.74,25187.78,25.19
539,Entrada en largo,2025-05-07 16:00,Long,3394.4,19.9,67548.56,-499.09,-0.74,69.05,0.10,-499.09,-0.74,25187.78,25.19
540,Salida en corto,2025-05-12 01:00,Exit,3266.56,24.7,82181.84,1497.81,1.82,1497.81,1.82,-77.31,-0.09,26685.59,26.69
540,Entrada en corto,2025-05-09 21:45,Short,3327.2,24.7,82181.84,1497.81,1.82,1497.81,1.82,-77.31,-0.09,26685.59,26.69
541,Salida en corto,2025-05-13 06:30,Exit,3243.37,36.5,117884.415,-498.59,-0.42,518.3,0.44,-498.59,-0.42,26187,26.19
541,Entrada en corto,2025-05-13 03:30,Short,3229.71,36.5,117884.415,-498.59,-0.42,518.3,0.44,-498.59,-0.42,26187,26.19
542,Salida en corto,2025-05-14 14:30,Exit,3200.11,30.6,99424.296,1500.93,1.51,1500.93,1.51,-266.53,-0.27,27687.93,27.69
542,Entrada en corto,2025-05-13 14:00,Short,3249.16,30.6,99424.296,1500.93,1.51,1500.93,1.51,-266.53,-0.27,27687.93,27.69
543,Salida en corto,2025-05-15 12:00,Exit,3172.43,24.6,78042.516,0.74,0.00,1279.69,1.64,-77,-0.10,27688.67,27.69
543,Entrada en corto,2025-05-15 04:00,Short,3172.46,24.6,78042.516,0.74,0.00,1279.69,1.64,-77,-0.10,27688.67,27.69
544,Salida en corto,2025-05-19 00:15,Exit,3231.23,14.7,46998.399,-500.68,-1.07,632.98,1.35,-500.68,-1.07,27187.98,27.19
544,Entrada en corto,2025-05-16 10:15,Short,3197.17,14.7,46998.399,-500.68,-1.07,632.98,1.35,-500.68,-1.07,27187.98,27.19
545,Salida en largo,2025-05-22 12:30,Exit,3295.27,23.7,78596.31,-498.41,-0.63,688.49,0.88,-498.41,-0.63,26689.57,26.69
545,Entrada en largo,2025-05-21 20:00,Long,3316.3,23.7,78596.31,-498.41,-0.63,688.49,0.88,-498.41,-0.63,26689.57,26.69
546,Salida en largo,2025-05-27 07:30,Exit,3326.3,30.1,100620.086,-498.46,-0.50,211,0.21,-498.46,-0.50,26191.12,26.19
546,Entrada en largo,2025-05-26 18:45,Long,3342.86,30.1,100620.086,-498.46,-0.50,211,0.21,-498.46,-0.50,26191.12,26.19
547,Salida en largo,2025-05-28 05:15,Exit,3297.06,35,115895.5,-498.4,-0.43,160.3,0.14,-498.4,-0.43,25692.72,25.69
547,Entrada en largo,2025-05-28 02:15,Long,3311.3,35,115895.5,-498.4,-0.43,160.3,0.14,-498.4,-0.43,25692.72,25.69
548,Salida en largo,2025-05-28 18:30,Exit,3291.42,19.3,64027.364,-502.96,-0.79,154.98,0.24,-502.96,-0.79,25189.76,25.19
548,Entrada en largo,2025-05-28 09:45,Long,3317.48,19.3,64027.364,-502.96,-0.79,154.98,0.24,-502.96,-0.79,25189.76,25.19
549,Salida en corto,2025-06-02 00:00,Exit,3305.48,28.9,95530.395,2.02,0.00,993.29,1.04,-75.43,-0.08,25191.78,25.19
549,Entrada en corto,2025-05-30 04:15,Short,3305.55,28.9,95530.395,2.02,0.00,993.29,1.04,-75.43,-0.08,25191.78,25.19
550,Salida en largo,2025-06-06 08:45,Exit,3356.21,35.8,120649.938,-497.62,-0.41,192.6,0.16,-497.62,-0.41,24694.16,24.69
550,Entrada en largo,2025-06-06 05:45,Long,3370.11,35.8,120649.938,-497.62,-0.41,192.6,0.16,-497.62,-0.41,24694.16,24.69
551,Salida en corto,2025-06-12 00:00,Exit,3360.73,13.4,44539.054,-494.73,-1.11,59.76,0.13,-494.73,-1.11,24199.44,24.20
551,Entrada en corto,2025-06-11 19:30,Short,3323.81,13.4,44539.054,-494.73,-1.11,59.76,0.13,-494.73,-1.11,24199.44,24.20
552,Salida en largo,2025-06-13 04:45,Exit,3443.43,31.3,106281.654,1497.71,1.41,1497.71,1.41,-118.31,-0.11,25697.14,25.70
552,Entrada en largo,2025-06-13 02:00,Long,3395.58,31.3,106281.654,1497.71,1.41,1497.71,1.41,-118.31,-0.11,25697.14,25.70
553,Salida en largo,2025-06-16 09:00,Exit,3411.66,25,85790,-498.5,-0.58,493.5,0.58,-498.5,-0.58,25198.64,25.20
553,Entrada en largo,2025-06-13 14:45,Long,3431.6,25,85790,-498.5,-0.58,493.5,0.58,-498.5,-0.58,25198.64,25.20
554,Salida en largo,2025-06-18 04:00,Exit,3376.64,29.5,100110.315,-499.43,-0.50,29.5,0.03,-499.43,-0.50,24699.21,24.70
554,Entrada en largo,2025-06-18 00:15,Long,3393.57,29.5,100110.315,-499.43,-0.50,29.5,0.03,-499.43,-0.50,24699.21,24.70
555,Salida en largo,2025-06-18 16:15,Exit,3375.19,36.1,122341.817,-497.46,-0.41,279.05,0.23,-497.46,-0.41,24201.75,24.20
555,Entrada en largo,2025-06-18 14:45,Long,3388.97,36.1,122341.817,-497.46,-0.41,279.05,0.23,-497.46,-0.41,24201.75,24.20
556,Salida en corto,2025-06-20 15:45,Exit,3369.16,26.8,90294.292,0.8,0.00,781.22,0.87,-263.44,-0.29,24202.55,24.20
556,Entrada en corto,2025-06-19 07:45,Short,3369.19,26.8,90294.292,0.8,0.00,781.22,0.87,-263.44,-0.29,24202.55,24.20
557,Salida en corto,2025-06-24 14:00,Exit,3315.66,25.7,86710.258,1497.8,1.73,1497.8,1.73,-37.26,-0.04,25700.35,25.70
557,Entrada en corto,2025-06-23 22:15,Short,3373.94,25.7,86710.258,1497.8,1.73,1497.8,1.73,-37.26,-0.04,25700.35,25.70
558,Salida en corto,2025-06-26 01:00,Exit,3336.99,29.1,96605.889,-500.52,-0.52,232.51,0.24,-500.52,-0.52,25199.83,25.20
558,Entrada en corto,2025-06-25 14:45,Short,3319.79,29.1,96605.889,-500.52,-0.52,232.51,0.24,-500.52,-0.52,25199.83,25.20
559,Salida en corto,2025-06-30 04:30,Exit,3282.87,29.2,95362.528,-497.28,-0.52,569.11,0.60,-497.28,-0.52,24702.55,24.70
559,Entrada en corto,2025-06-30 00:15,Short,3265.84,29.2,95362.528,-497.28,-0.52,569.11,0.60,-497.28,-0.52,24702.55,24.70
560,Salida en largo,2025-07-03 14:30,Exit,3333.92,28.3,94846.035,-496.1,-0.52,405.26,0.43,-496.1,-0.52,24206.45,24.21
560,Entrada en largo,2025-07-02 20:15,Long,3351.45,28.3,94846.035,-496.1,-0.52,405.26,0.43,-496.1,-0.52,24206.45,24.21
561,Salida en corto,2025-07-11 02:30,Exit,3330.31,28.7,95078.508,-501.39,-0.53,74.91,0.08,-501.39,-0.53,23705.06,23.71
561,Entrada en corto,2025-07-10 16:00,Short,3312.84,28.7,95078.508,-501.39,-0.53,74.91,0.08,-501.39,-0.53,23705.06,23.71
562,Salida en largo,2025-07-16 15:45,Exit,3324.93,32,106898.88,-501.12,-0.47,79.68,0.07,-501.12,-0.47,23203.94,23.20
562,Entrada en largo,2025-07-16 08:15,Long,3340.59,32,106898.88,-501.12,-0.47,79.68,0.07,-501.12,-0.47,23203.94,23.20
563,Salida en largo,2025-08-08 03:00,Exit,3385.29,36.2,122555.1,-7.6,-0.01,809.43,0.66,-500.28,-0.41,23196.34,23.20
563,Entrada en largo,2025-08-07 08:45,Long,3385.5,36.2,122555.1,-7.6,-0.01,809.43,0.66,-500.28,-0.41,23196.34,23.20
564,Salida en largo,2025-08-08 13:15,Exit,3383.44,26.8,91175.744,-499.55,-0.55,16.88,0.02,-499.55,-0.55,22696.79,22.70
564,Entrada en largo,2025-08-08 10:00,Long,3402.08,26.8,91175.744,-499.55,-0.55,16.88,0.02,-499.55,-0.55,22696.79,22.70
565,Salida en corto,2025-08-12 17:15,Exit,3357.78,22.6,75385.238,-500.59,-0.66,108.93,0.14,-500.59,-0.66,22196.2,22.20
565,Entrada en corto,2025-08-12 16:15,Short,3335.63,22.6,75385.238,-500.59,-0.66,108.93,0.14,-500.59,-0.66,22196.2,22.20
566,Salida en largo,2025-08-29 15:30,Exit,3423.35,35.6,120373.212,1498.05,1.24,1498.05,1.24,-276.26,-0.23,23694.25,23.69
566,Entrada en largo,2025-08-26 17:15,Long,3381.27,35.6,120373.212,1498.05,1.24,1498.05,1.24,-276.26,-0.23,23694.25,23.69
567,Salida en largo,2025-09-04 04:15,Exit,3540.98,34.8,123219.144,6.96,0.01,1314.05,1.07,-297.89,-0.24,23701.21,23.70
567,Entrada en largo,2025-09-03 10:30,Long,3540.78,34.8,123219.144,6.96,0.01,1314.05,1.07,-297.89,-0.24,23701.21,23.70
568,Salida en largo,2025-09-09 16:00,Exit,3642.36,27.4,100305.098,-504.43,-0.50,379.76,0.38,-504.43,-0.50,23196.77,23.20
568,Entrada en largo,2025-09-09 15:30,Long,3660.77,27.4,100305.098,-504.43,-0.50,379.76,0.38,-504.43,-0.50,23196.77,23.20
569,Salida en largo,2025-09-15 03:00,Exit,3630.46,32.5,118490.775,-500.82,-0.42,351.98,0.30,-500.82,-0.42,22695.95,22.70
569,Entrada en largo,2025-09-12 03:45,Long,3645.87,32.5,118490.775,-500.82,-0.42,351.98,0.30,-500.82,-0.42,22695.95,22.70
570,Salida en largo,2025-09-17 20:00,Exit,3653.8,27.6,100845.156,-0.28,0.00,1479.64,1.47,-27.88,-0.03,22695.67,22.70
570,Entrada en largo,2025-09-15 15:30,Long,3653.81,27.6,100845.156,-0.28,0.00,1479.64,1.47,-27.88,-0.03,22695.67,22.70
571,Salida en largo,2025-09-24 16:45,Exit,3750.57,22.9,86386.128,-498.07,-0.58,158.24,0.18,-498.07,-0.58,22197.6,22.20
571,Entrada en largo,2025-09-24 07:30,Long,3772.32,22.9,86386.128,-498.07,-0.58,158.24,0.18,-498.07,-0.58,22197.6,22.20
572,Salida en largo,2025-09-25 14:45,Exit,3731.76,25.5,95656.365,-496.48,-0.52,264.69,0.28,-496.48,-0.52,21701.11,21.70
572,Entrada en largo,2025-09-25 09:45,Long,3751.23,25.5,95656.365,-496.48,-0.52,264.69,0.28,-496.48,-0.52,21701.11,21.70
573,Salida en largo,2025-09-29 13:30,Exit,3829.16,23.1,86963.877,1489.72,1.71,1489.72,1.71,-285.75,-0.33,23190.83,23.19
573,Entrada en largo,2025-09-26 15:15,Long,3764.67,23.1,86963.877,1489.72,1.71,1489.72,1.71,-285.75,-0.33,23190.83,23.19
574,Salida en largo,2025-09-30 10:00,Exit,3838.51,31.4,120529.528,-0.31,0.00,1043.11,0.87,-119.63,-0.10,23190.52,23.19
574,Entrada en largo,2025-09-30 02:15,Long,3838.52,31.4,120529.528,-0.31,0.00,1043.11,0.87,-119.63,-0.10,23190.52,23.19
575,Salida en largo,2025-10-02 03:00,Exit,3853.28,19.3,74867.016,-498.71,-0.67,311.89,0.42,-498.71,-0.67,22691.81,22.69
575,Entrada en largo,2025-10-01 10:00,Long,3879.12,19.3,74867.016,-498.71,-0.67,311.89,0.42,-498.71,-0.67,22691.81,22.69
576,Salida en largo,2025-10-02 16:00,Exit,3869.83,29.4,113771.826,1.18,0.00,797.33,0.70,-238.73,-0.21,22692.98,22.69
576,Entrada en largo,2025-10-02 04:15,Long,3869.79,29.4,113771.826,1.18,0.00,797.33,0.70,-238.73,-0.21,22692.98,22.69
577,Salida en largo,2025-10-03 05:15,Exit,3840.57,23.2,89600.952,-499.73,-0.56,39.21,0.04,-499.73,-0.56,22193.25,22.19
577,Entrada en largo,2025-10-03 01:45,Long,3862.11,23.2,89600.952,-499.73,-0.56,39.21,0.04,-499.73,-0.56,22193.25,22.19
578,Salida en largo,2025-10-06 06:30,Exit,3937,20.2,78027.55,1499.85,1.92,1499.85,1.92,-163.62,-0.21,23693.1,23.69
578,Entrada en largo,2025-10-03 09:30,Long,3862.75,20.2,78027.55,1499.85,1.92,1499.85,1.92,-163.62,-0.21,23693.1,23.69
579,Salida en largo,2025-10-08 11:45,Exit,4041.72,19.7,78127.245,1494.64,1.91,1494.64,1.91,-78.21,-0.10,25187.74,25.19
579,Entrada en largo,2025-10-07 13:45,Long,3965.85,19.7,78127.245,1494.64,1.91,1494.64,1.91,-78.21,-0.10,25187.74,25.19
580,Salida en largo,2025-10-09 00:00,Exit,4026.22,17,68944.01,-498.27,-0.72,61.54,0.09,-498.27,-0.72,24689.47,24.69
580,Entrada en largo,2025-10-08 18:15,Long,4055.53,17,68944.01,-498.27,-0.72,61.54,0.09,-498.27,-0.72,24689.47,24.69
581,Salida en largo,2025-10-09 15:45,Exit,4022.52,22.9,92614.699,-498.99,-0.54,312.13,0.34,-498.99,-0.54,24190.48,24.19
581,Entrada en largo,2025-10-09 13:00,Long,4044.31,22.9,92614.699,-498.99,-0.54,312.13,0.34,-498.99,-0.54,24190.48,24.19
582,Salida en largo,2025-10-16 15:30,Exit,4257.74,15.3,63660.699,1482.72,2.33,1482.72,2.33,-166,-0.26,25673.2,25.67
582,Entrada en largo,2025-10-15 00:15,Long,4160.83,15.3,63660.699,1482.72,2.33,1482.72,2.33,-166,-0.26,25673.2,25.67
583,Salida en largo,2025-10-17 15:30,Exit,4265.48,11.4,48624.876,1.6,0.00,1298.23,2.67,-126.2,-0.26,25674.8,25.67
583,Entrada en largo,2025-10-16 16:15,Long,4265.34,11.4,48624.876,1.6,0.00,1298.23,2.67,-126.2,-0.26,25674.8,25.67
584,Salida en largo,2025-10-21 10:00,Exit,4279.08,10.2,43640.394,6.22,0.01,1049.68,2.41,-60.08,-0.14,25681.02,25.68
584,Entrada en largo,2025-10-20 14:00,Long,4278.47,10.2,43640.394,6.22,0.01,1049.68,2.41,-60.08,-0.14,25681.02,25.68
585,Salida en corto,2025-11-10 13:00,Exit,4087.84,6.7,27388.796,0.27,0.00,1348.44,4.92,-448.97,-1.64,25681.29,25.68
585,Entrada en corto,2025-10-22 10:15,Short,4087.88,6.7,27388.796,0.27,0.00,1348.44,4.92,-448.97,-1.64,25681.29,25.68
586,Salida en largo,2025-11-12 19:15,Exit,4208.95,20.6,85208.398,1495.97,1.76,1495.97,1.76,-282.01,-0.33,27177.26,27.18
586,Entrada en largo,2025-11-12 13:30,Long,4136.33,20.6,85208.398,1495.97,1.76,1495.97,1.76,-282.01,-0.33,27177.26,27.18
587,Salida en largo,2025-11-13 19:30,Exit,4179.8,15,63195.3,-498.3,-0.79,481.5,0.76,-498.3,-0.79,26678.96,26.68
587,Entrada en largo,2025-11-13 05:00,Long,4213.02,15,63195.3,-498.3,-0.79,481.5,0.76,-498.3,-0.79,26678.96,26.68
588,Salida en corto,2025-11-19 06:15,Exit,4082.22,28.1,114216.103,-494.28,-0.43,254.59,0.22,-494.28,-0.43,26184.68,26.18
588,Entrada en corto,2025-11-19 02:15,Short,4064.63,28.1,114216.103,-494.28,-0.43,254.59,0.22,-494.28,-0.43,26184.68,26.18
589,Salida en corto,2025-11-24 19:30,Exit,4107.19,8.6,34822.088,-499.75,-1.44,229.53,0.66,-499.75,-1.44,25684.94,25.68
589,Entrada en corto,2025-11-20 18:00,Short,4049.08,8.6,34822.088,-499.75,-1.44,229.53,0.66,-499.75,-1.44,25684.94,25.68
590,Salida en largo,2025-11-28 19:15,Exit,4219.75,21.6,89652.096,1494.5,1.67,1494.5,1.67,-296.35,-0.33,27179.44,27.18
590,Entrada en largo,2025-11-26 02:45,Long,4150.56,21.6,89652.096,1494.5,1.67,1494.5,1.67,-296.35,-0.33,27179.44,27.18
591,Salida en largo,2025-12-02 02:00,Exit,4215.18,14,59512.6,-500.08,-0.84,191.66,0.32,-500.08,-0.84,26679.36,26.68
591,Entrada en largo,2025-12-01 09:15,Long,4250.9,14,59512.6,-500.08,-0.84,191.66,0.32,-500.08,-0.84,26679.36,26.68
592,Salida en largo,2025-12-12 15:45,Exit,4349.3,10.7,45052.564,1484.95,3.30,1484.95,3.30,-436.02,-0.97,28164.31,28.16
592,Entrada en largo,2025-12-02 21:45,Long,4210.52,10.7,45052.564,1484.95,3.30,1484.95,3.30,-436.02,-0.97,28164.31,28.16
593,Salida en largo,2025-12-19 02:15,Exit,4317.86,23.7,102334.704,-1.42,0.00,1344.03,1.31,-270.18,-0.26,28162.89,28.16
593,Entrada en largo,2025-12-17 02:15,Long,4317.92,23.7,102334.704,-1.42,0.00,1344.03,1.31,-270.18,-0.26,28162.89,28.16
594,Salida en largo,2025-12-22 06:30,Exit,4408.07,22.6,98124.454,1497.93,1.53,1497.93,1.53,-153.45,-0.16,29660.81,29.66
594,Entrada en largo,2025-12-19 16:15,Long,4341.79,22.6,98124.454,1497.93,1.53,1497.93,1.53,-153.45,-0.16,29660.81,29.66
595,Salida en largo,2025-12-29 01:15,Exit,4502.88,19,86048.91,-494.19,-0.57,398.43,0.46,-494.19,-0.57,29166.62,29.17
595,Entrada en largo,2025-12-26 15:30,Long,4528.89,19,86048.91,-494.19,-0.57,398.43,0.46,-494.19,-0.57,29166.62,29.17
596,Salida en corto,2025-12-31 15:45,Exit,4348.56,15,65229.9,1.5,0.00,1120.5,1.72,-371.4,-0.57,29168.12,29.17
596,Entrada en corto,2025-12-30 21:00,Short,4348.66,15,65229.9,1.5,0.00,1120.5,1.72,-371.4,-0.57,29168.12,29.17
597,Salida en corto,2026-01-02 01:45,Exit,4353.4,11.8,50867.912,-502.21,-0.99,26.2,0.05,-502.21,-0.99,28665.91,28.67
597,Entrada en corto,2025-12-31 20:45,Short,4310.84,11.8,50867.912,-502.21,-0.99,26.2,0.05,-502.21,-0.99,28665.91,28.67
598,Salida en largo,2026-01-06 01:30,Exit,4432.42,26.1,116188.065,-501.9,-0.43,49.85,0.04,-501.9,-0.43,28164.01,28.16
598,Entrada en largo,2026-01-06 00:15,Long,4451.65,26.1,116188.065,-501.9,-0.43,49.85,0.04,-501.9,-0.43,28164.01,28.16
599,Salida en largo,2026-01-07 14:00,Exit,4427.65,15.3,68241.825,-498.78,-0.73,618.58,0.91,-498.78,-0.73,27665.23,27.67
599,Entrada en largo,2026-01-06 03:30,Long,4460.25,15.3,68241.825,-498.78,-0.73,618.58,0.91,-498.78,-0.73,27665.23,27.67
600,Salida en largo,2026-01-08 02:00,Exit,4445.27,24.5,109408.67,-499.55,-0.46,19.85,0.02,-499.55,-0.46,27165.68,27.17
600,Entrada en largo,2026-01-08 01:15,Long,4465.66,24.5,109408.67,-499.55,-0.46,19.85,0.02,-499.55,-0.46,27165.68,27.17
601,Salida en largo,2026-01-12 01:15,Exit,4564.74,19.2,86154.24,1488.77,1.73,1488.77,1.73,-157.44,-0.18,28654.45,28.65
601,Entrada en largo,2026-01-09 14:45,Long,4487.2,19.2,86154.24,1488.77,1.73,1488.77,1.73,-157.44,-0.18,28654.45,28.65
602,Salida en largo,2026-01-13 07:30,Exit,4575.48,19.2,88343.808,-494.59,-0.56,15.17,0.02,-494.59,-0.56,28159.85,28.16
602,Entrada en largo,2026-01-13 06:30,Long,4601.24,19.2,88343.808,-494.59,-0.56,15.17,0.02,-494.59,-0.56,28159.85,28.16
603,Salida en largo,2026-01-13 21:30,Exit,4577.83,20.1,92514.672,-500.29,-0.54,641.79,0.69,-500.29,-0.54,27659.56,27.66
603,Entrada en largo,2026-01-13 14:15,Long,4602.72,20.1,92514.672,-500.29,-0.54,641.79,0.69,-500.29,-0.54,27659.56,27.66
604,Salida en largo,2026-01-16 14:15,Exit,4594,23.2,107077.512,-496.71,-0.46,13.22,0.01,-496.71,-0.46,27162.85,27.16
604,Entrada en largo,2026-01-16 12:45,Long,4615.41,23.2,107077.512,-496.71,-0.46,13.22,0.01,-496.71,-0.46,27162.85,27.16
605,Salida en largo,2026-01-16 16:15,Exit,4582.42,14.8,68319.76,-499.94,-0.73,19.98,0.03,-499.94,-0.73,26662.91,26.66
605,Entrada en largo,2026-01-16 16:15,Long,4616.2,14.8,68319.76,-499.94,-0.73,19.98,0.03,-499.94,-0.73,26662.91,26.66
606,Salida en largo,2026-01-21 05:45,Exit,4867.93,13.1,62258.143,1511.74,2.43,1511.74,2.43,-83.18,-0.13,28174.65,28.17
606,Entrada en largo,2026-01-20 18:00,Long,4752.53,13.1,62258.143,1511.74,2.43,1511.74,2.43,-83.18,-0.13,28174.65,28.17
607,Salida en largo,2026-01-23 00:00,Exit,4951.03,14.2,68810.786,1493.84,2.17,1493.84,2.17,-264.4,-0.38,29668.49,29.67
607,Entrada en largo,2026-01-22 15:45,Long,4845.83,14.2,68810.786,1493.84,2.17,1493.84,2.17,-264.4,-0.38,29668.49,29.67
608,Salida en largo,2026-01-26 07:45,Exit,5099.79,10.6,52567.096,1490.68,2.84,1490.68,2.84,-83.21,-0.16,31159.17,31.16
608,Entrada en largo,2026-01-23 16:45,Long,4959.16,10.6,52567.096,1490.68,2.84,1490.68,2.84,-83.21,-0.16,31159.17,31.16
609,Salida en largo,2026-01-26 20:00,Exit,5054.83,10.7,54586.906,-500.22,-0.92,36.17,0.07,-500.22,-0.92,30658.94,30.66
609,Entrada en largo,2026-01-26 17:15,Long,5101.58,10.7,54586.906,-500.22,-0.92,36.17,0.07,-500.22,-0.92,30658.94,30.66
610,Salida en largo,2026-01-28 08:45,Exit,5291.08,7.2,36598.104,1497.67,4.09,1497.67,4.09,-262.08,-0.72,32156.61,32.16
610,Entrada en largo,2026-01-27 07:00,Long,5083.07,7.2,36598.104,1497.67,4.09,1497.67,4.09,-262.08,-0.72,32156.61,32.16
611,Salida en largo,2026-01-29 00:15,Exit,5489.82,7.8,41338.908,1481.69,3.58,1481.69,3.58,-243.28,-0.59,33638.3,33.64
611,Entrada en largo,2026-01-28 18:00,Long,5299.86,7.8,41338.908,1481.69,3.58,1481.69,3.58,-243.28,-0.59,33638.3,33.64
612,Salida en corto,2026-02-03 01:15,Exit,4812.62,2.5,11550.1,-481.45,-4.17,58.13,0.50,-481.45,-4.17,33156.85,33.16
612,Entrada en corto,2026-02-02 17:00,Short,4620.04,2.5,11550.1,-481.45,-4.17,58.13,0.50,-481.45,-4.17,33156.85,33.16
613,Salida en corto,2026-02-09 16:30,Exit,5045.39,9.2,45917.936,-499.65,-1.09,82.62,0.18,-499.65,-1.09,32657.2,32.66
613,Entrada en corto,2026-02-09 11:30,Short,4991.08,9.2,45917.936,-499.65,-1.09,82.62,0.18,-499.65,-1.09,32657.2,32.66
614,Salida en corto,2026-02-11 11:30,Exit,5078.54,7.7,38607.338,-497.42,-1.29,70.3,0.18,-497.42,-1.29,32159.78,32.16
614,Entrada en corto,2026-02-10 16:45,Short,5013.94,7.7,38607.338,-497.42,-1.29,70.3,0.18,-497.42,-1.29,32159.78,32.16
615,Salida en corto,2026-02-12 17:15,Exit,4925.97,12.6,63558.18,1490.96,2.35,1490.96,2.35,-384.43,-0.60,33650.74,33.65
615,Entrada en corto,2026-02-12 16:00,Short,5044.3,12.6,63558.18,1490.96,2.35,1490.96,2.35,-384.43,-0.60,33650.74,33.65
