Operación nº,Tipo,Fecha y hora,Señal,Precio USD,Tamaño de la posición (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
485,Entrada en largo,2024-07-05 19:15,Long,2388.6,12.5,29857.5,0,0.00,1188,3.98,-492.37,-1.65,20250.3,20.25
486,Salida en corto,2024-07-23 10:30,Exit,2403.96,48.9,117052.908,-500.74,-0.43,267.97,0.23,-500.74,-0.43,19749.56,19.75
486,Entrada en corto,2024-07-23 07:30,Short,2393.72,48.9,117052.908,-500.74,-0.43,267.97,0.23,-500.74,-0.43,19749.56,19.75
487,Salida en corto,2024-07-30 15:30,Exit,2396.7,32.3,76915.344,-498.07,-0.65,380.17,0.49,-498.07,-0.65,19251.49,19.25
487,Entrada en corto,2024-07-29 16:45,Short,2381.28,32.3,76915.344,-498.07,-0.65,380.17,0.49,-498.07,-0.65,19251.49,19.25
488,Salida en corto,2024-08-07 14:45,Exit,2405.71,39.6,95267.7,1.58,0.00,1059.3,1.11,-417.38,-0.44,19253.08,19.25
488,Entrada en corto,2024-08-06 07:45,Short,2405.75,39.6,95267.7,1.58,0.00,1059.3,1.11,-417.38,-0.44,19253.08,19.25
489,Salida en corto,2024-08-08 13:00,Exit,2407.03,36.4,87117.212,-498.68,-0.57,447.36,0.51,-498.68,-0.57,18754.4,18.75
489,Entrada en corto,2024-08-07 17:45,Short,2393.33,36.4,87117.212,-498.68,-0.57,447.36,0.51,-498.68,-0.57,18754.4,18.75
490,Salida en largo,2024-08-14 15:15,Exit,2455.27,34.6,85453.004,-500.66,-0.59,348.77,0.41,-500.66,-0.59,18253.74,18.25
490,Entrada en largo,2024-08-14 09:15,Long,2469.74,34.6,85453.004,-500.66,-0.59,348.77,0.41,-500.66,-0.59,18253.74,18.25
491,Salida en largo,2024-08-20 09:30,Exit,2510.25,30.4,74812.576,1499.02,2.00,1499.02,2.00,-308.86,-0.41,19752.76,19.75
491,Entrada en largo,2024-08-15 21:15,Long,2460.94,30.4,74812.576,1499.02,2.00,1499.02,2.00,-308.86,-0.41,19752.76,19.75
492,Salida en largo,2024-08-28 08:00,Exit,2503.31,41.5,104389.93,-502.56,-0.48,561.91,0.54,-502.56,-0.48,19250.2,19.25
492,Entrada en largo,2024-08-27 16:15,Long,2515.42,41.5,104389.93,-502.56,-0.48,561.91,0.54,-502.56,-0.48,19250.2,19.25
493,Salida en largo,2024-09-18 21:00,Exit,2567.07,23.1,59801.28,-501.96,-0.84,262.42,0.44,-501.96,-0.84,18748.23,18.75
493,Entrada en largo,2024-09-18 20:15,Long,2588.8,23.1,59801.28,-501.96,-0.84,262.42,0.44,-501.96,-0.84,18748.23,18.75
494,Salida en largo,2024-09-23 09:30,Exit,2616.01,41.6,109328.544,-502.53,-0.46,135.62,0.12,-502.53,-0.46,18245.7,18.25
494,Entrada en largo,2024-09-23 05:15,Long,2628.09,41.6,109328.544,-502.53,-0.46,135.62,0.12,-502.53,-0.46,18245.7,18.25
495,Salida en largo,2024-09-25 04:45,Exit,2667.04,37.4,98251.67,1495.63,1.52,1495.63,1.52,-173.54,-0.18,19741.33,19.74
495,Entrada en largo,2024-09-23 15:00,Long,2627.05,37.4,98251.67,1495.63,1.52,1495.63,1.52,-173.54,-0.18,19741.33,19.74
496,Salida en largo,2024-09-27 16:15,Exit,2658.38,37.5,100189.5,-500.25,-0.50,93,0.09,-500.25,-0.50,19241.08,19.24
496,Entrada en largo,2024-09-27 14:45,Long,2671.72,37.5,100189.5,-500.25,-0.50,93,0.09,-500.25,-0.50,19241.08,19.24
497,Salida en corto,2024-10-08 13:15,Exit,2649.07,36.8,96983.456,-502.32,-0.52,259.81,0.27,-502.32,-0.52,18738.76,18.74
497,Entrada en corto,2024-10-08 04:45,Short,2635.42,36.8,96983.456,-502.32,-0.52,259.81,0.27,-502.32,-0.52,18738.76,18.74
498,Salida en corto,2024-10-10 14:30,Exit,2622.45,40.9,106756.362,-501.84,-0.47,343.56,0.32,-501.84,-0.47,18236.92,18.24
